a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alsa-card-profiles 14.0-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amtk 5.2.0-2
android-file-transfer 4.1-1
anydesk-bin 6.0.0-1
aom 2.0.1-1
appstream 0.13.1-1
appstream-glib 0.7.18-1
appstream-qt 0.13.1-1
apulse 0.1.13-1
archlinux-keyring 20201210-1
argon2 20190702-3
aribb24 1.0.3-3
ark 20.12.0-1
asciidoc 9.0.4-2
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.77.0-1
attr 2.4.48-3
audacious-git 1:4.0.beta1.r125.gc253e3180-1
audacious-plugins-git 1:4.0.beta1.r198.g0acee6e9b-1
audit 2.8.5-9
autoconf 2.70-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
babl 0.1.82-1
banshee 2.6.2-14
baobab 3.38.0-1
base 2-2
bash 5.1.004-1
bftpd 5.6-2
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
bluejeans 2.5.0-1
blueman 2.1.4-1
bluez 5.55-1
bluez-libs 5.55-1
bluez-tools 0.2.0-5
bluez-utils 5.55-1
boost-libs 1.75.0-2
botan 2.17.3-1
bower 1.8.8-2
bridge-utils 1.7-1
brotli 1.0.9-4
btrfs-progs 5.9-3
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.60-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairo-perl 1.107-2
cairomm 1.12.2-4
calcurse 4.7.0-1
cantarell-fonts 1:0.301-1
catimg 2.7.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chafa 1.4.1-1
chromaprint 1.5.0-3
chromium 87.0.4280.88-3
cifs-utils 6.11-3
cinnamon-desktop 4.8.1-1
clucene 2.3.3.4-11
cmake 3.19.2-1
cmst 2020.11.01-1
colord 1.4.5-1
composer 2.0.8-1
confuse 3.3-2
connman 1.38-1
connman-ui-git r38.fce0af9-1
containerd 1.4.3-1
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
curl 7.74.0-1
dart 2.10.4-1
dav1d 0.7.1-1
db 5.3.28-5
dbeaver 7.3.1-1
dbus 1.12.20-1
dbus-glib 0.110-2
dbus-sharp 0.8.1-3
dbus-sharp-glib 0.6.0-3
dconf 0.38.0-1
deluge 2.0.4.dev38+g23a48dd01-3
deluge-gtk 2.0.4.dev38+g23a48dd01-3
desktop-file-utils 0.26-1
devhelp 3.38.1-1
device-mapper 2.02.187-3
dhcpcd 9.3.4-1
dialog 1:1.3_20201126-1
diffutils 3.7-3
discord 0.0.13-1
discount 2.2.7-1
djvulibre 3.5.28-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.2-4
dosfstools 4.1-3
double-conversion 3.1.5-2
e2fsprogs 1.45.6-3
ede 2.1-1
edelib 2.1-1
efibootmgr 17-2
efivar 37-4
elfutils 0.181-1
ell 0.35-1
enca 1.19-4
enchant 2.2.13-2
engrampa 1.24.1-1
eog 3.38.1-1
escrotum-git 0.2.1.r48.a41d0f1-1
evolution-data-server 3.38.2-2
exempi 2.5.2-1
exiv2 0.27.3-1
expat 2.2.10-2
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
farstream 0.2.9-2
feh 3.6.1-1
ffmpeg 2:4.3.1-3
fftw 3.3.9-1
file 5.39-1
filesystem 2020.09.03-1
filezilla 3.46.3-1
findutils 4.7.0-2
flac 1.3.3-2
flameshot 0.8.5-1
flatpak 1.9.2-1
flex 2.6.4-3
florence 0.6.3-2
fltk 1.3.5-4
fluid-git v1.2.0.r39.g1bb3ad8-1
fluidsynth 2.1.5-2
font-manager 0.7.7-1
fontconfig 2:2.13.91+48+gfcb0420-2
fping 5.0-1
freetype2 2.10.4-1
fribidi 1.0.10-1
ftjam 2.5.3rc2-6
fuse-common 3.10.1-1
fuse2 2.9.9-4
fuse3 3.10.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-4
gcc-libs 10.2.0-4
gconf 3.2.6+11+g07808097-6
gconf-sharp 2.24.4-6
gcr 3.38-1
gdbm 1.18.1-3
gdk-pixbuf2 2.42.2-1
gdl 3.34.0-2
gegl 0.4.26-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20201222-1
gettext 0.21-1
ghostscript 9.53.3-2
giblib 1.2.4-8
giflib 5.2.1-2
gimp 2.10.22-1
git 2.30.0-1
git-crypt 0.6.0-4
github-cli 1.4.0-1
gjs 2:1.66.1-1
gksu 2.0.2-6
glib-networking 2.66.0-1
glib-perl 1.329.3-1
glib2 2.66.4-1
glibc 2.32-5
glibmm 2.64.5-1
glslang 11.1.0-1
glu 9.0.1-2
gmp 6.2.1-1
gnokii 0.6.31-19
gnome-autoar 0.2.4-2
gnome-bluetooth 3.34.3-1
gnome-desktop 1:3.38.2-1
gnome-disk-utility 3.38.1-1
gnome-keyring 1:3.36.0-3
gnome-online-accounts 3.38.0-1
gnome-session 3.38.0+14+g87d92fec-1
gnome-settings-daemon 3.38.1-1
gnome-shell 1:3.38.2+22+g3a343a8aa-1
gnome-system-monitor 3.38.0-1
gnome-terminal 3.38.1-2
gnome-themes-extra 3.28-2
gnome-tweaks 3.34.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.25-1
